video_id	classification	question_category	pool_key	target	caption	generated_transcription	missing_transcription	score_1	score_2	score_3	mean_score	raw_output_1	raw_output_2	raw_output_3
Video16	unknown_dialogue	CausaleEsplicita_A	pool_pos_1	1	La signora tira arance contro il ragazzo per farlo indietreggiare	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_A	pool_pos_2	0	La donna lancia gli agrumi per mandar via il giovane	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Video16	unknown_dialogue	CausaleEsplicita_A	pool_pos_3	1	La signora tira le arance per colpire il ragazzo e cacciarlo	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_A	pool_pos_4	0	La donna scaglia gli agrumi contro il giovane a causa della sua ira	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Video16	unknown_dialogue	CausaleEsplicita_A	pool_pos_5	0	La signora tira le arance per fare uscire il ragazzo dalla stanza	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_A	pool_pos_6	1	La signora tira le arance in segno di riprovazione per far uscire il ragazzo	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_A	pool_pos_7	1	La donna lancia le arance verso il giovane per spingerlo ad andare via	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Video16	unknown_dialogue	CausaleEsplicita_A	pool_pos_8	1	La signora tira le arance per punire il ragazzo che è entrato con la moto	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_B	pool_pos_1	1	Il signore tira fuori il mattarello dal cassetto per intimidire il ragazzo	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_B	pool_pos_2	0	Il signore estrae il mattarello per fare in modo che il ragazzo se ne vada	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_B	pool_pos_3	1	L'uomo estrae il mattarello da un contenitore per costringere il ragazzo con lo scooter a lasciare la sala	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_B	pool_pos_4	1	L'uomo estrae il mattarello dal cassetto con l'intenzione di battere sul giovane	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_B	pool_pos_5	0	L'uomo estrae un rullo da un cassetto per intimidire il bambino	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_B	pool_pos_6	0	Il signore tira fuori il mattarello dal cassetto perché è arrabbiato con il nipote e vuole punirlo	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	CausaleEsplicita_B	pool_pos_7	1	L'uomo afferra un mattarello dal cassetto allo scopo di spaventare il giovane e probabilmente convincerlo ad andarsene	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Video16	unknown_dialogue	CausaleEsplicita_B	pool_pos_8	1	Il signore estrae un rullo dal contenitore per scoraggiare il giovane e fermare il suo comportamento	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	Controfattuale_A	pool_pos_1	1	In caso di rovesciamento del tavolo da parte del ragazzo vestito di verde, la sua punizione sarebbe enorme	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	Controfattuale_A	pool_pos_2	1	Se il ragazzo vestito di verde rovesciasse per errore il tavolo, succederebbe un grande caos	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	Controfattuale_A	pool_pos_3	1	Se il ragazzo vestito di verde rovesciasse per errore il tavolo, il tavolo si romperebbe e i signori nel video si farebbero male	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
Video16	unknown_dialogue	Controfattuale_A	pool_pos_4	1	Se il ragazzo vestito di verde rovesciasse per errore il tavolo, probabilmente farebbe male agli anziani	Vattene via, OOOOH OOOH, hai rotto i coglioni, testa di ca**o, ah ah AIAh AIOh	false	0	0	0	0	0.0	0.0	0.0
